x,y,date,city,country,venue,tour,year
144.963296,-37.813995,1991-10-20 00:00:00+00,Melbourne,Australia,Melbourne Uni,1991 Australia/New Zealand/Japan Tour,1991
144.963296,-37.813995,1997-06-17 00:00:00+00,Melbourne,Australia,Lava Lounge,1997 Summer Australia/New Zealand Tour,1997
144.963296,-37.813995,1993-11-14 00:00:00+00,Melbourne,Australia,Collingwood Town Hall,1993 Japan/Australia/New Zealand Tour,1993
144.963296,-37.813995,1993-11-13 00:00:00+00,Melbourne,Australia,Wall St.,1993 Japan/Australia/New Zealand Tour,1993
144.963296,-37.813995,1997-06-18 00:00:00+00,Melbourne,Australia,Lava Lounge,1997 Summer Australia/New Zealand Tour,1997
151.776496,-32.927197,1993-11-24 00:00:00+00,Newcastle,Australia,Morrow Park Bowls Club,1993 Japan/Australia/New Zealand Tour,1993
151.776496,-32.927197,1996-11-16 00:00:00+00,Newcastle,Australia,Cambridge Hotel,1996 US/Japan/Hong Kong/Australia Tour,1996
115.861399,-31.952196,1996-11-10 00:00:00+00,Perth,Australia,Univ. of West Australia,1996 US/Japan/Hong Kong/Australia Tour,1996
115.861399,-31.952196,1993-11-10 00:00:00+00,Perth,Australia,Club O,1993 Japan/Australia/New Zealand Tour,1993
151.207297,-33.8679,1993-12-01 00:00:00+00,Sydney,Australia,Uni Manning Bar,1993 Japan/Australia/New Zealand Tour,1993
151.207297,-33.8679,1991-10-25 00:00:00+00,Sydney,Australia,Sydney Uni,1991 Australia/New Zealand/Japan Tour,1991
151.207297,-33.8679,1996-11-15 00:00:00+00,Sydney,Australia,Sydney University,1996 US/Japan/Hong Kong/Australia Tour,1996
151.207297,-33.8679,1997-06-15 00:00:00+00,Sydney,Australia,Metro,1997 Summer Australia/New Zealand Tour,1997
151.207297,-33.8679,1993-11-20 00:00:00+00,Sydney,Australia,Sydney Town hall,1993 Japan/Australia/New Zealand Tour,1993
151.207297,-33.8679,1997-06-14 00:00:00+00,Sydney,Australia,Manly Youth Center,1997 Summer Australia/New Zealand Tour,1997
